# output: dados brutos de cada execucao, cada algoritmo e rodado 5 vezes
Indice;Algoritmo;D;Tipo;Tempo_ms;Memoria_B
2;D-Heap-Max;8;aleatorio;708.401;4000224
3;D-Heap-Max;8;aleatorio;728.014;4000224
4;D-Heap-Max;8;aleatorio;706.151;4000224
5;D-Heap-Max;8;aleatorio;849.839;4000224
1;D-Heap-Min;2;aleatorio;1275.15;4000640
2;D-Heap-Min;2;aleatorio;890.501;4000640
3;D-Heap-Min;2;aleatorio;831.288;4000640
4;D-Heap-Min;2;aleatorio;863.71;4000640
5;D-Heap-Min;2;aleatorio;873.604;4000640
1;D-Heap-Min;3;aleatorio;692.127;4000416
2;D-Heap-Min;3;aleatorio;713.814;4000416
3;D-Heap-Min;3;aleatorio;690.62;4000416
4;D-Heap-Min;3;aleatorio;687.58;4000416
5;D-Heap-Min;3;aleatorio;706.528;4000416
1;D-Heap-Min;4;aleatorio;659.754;4000320
2;D-Heap-Min;4;aleatorio;661.93;4000320
3;D-Heap-Min;4;aleatorio;669.412;4000320
4;D-Heap-Min;4;aleatorio;661.303;4000320
5;D-Heap-Min;4;aleatorio;664.298;4000320
1;D-Heap-Min;8;aleatorio;706.871;4000224
2;D-Heap-Min;8;aleatorio;718.833;4000224
3;D-Heap-Min;8;aleatorio;707.711;4000224
4;D-Heap-Min;8;aleatorio;716.87;4000224
5;D-Heap-Min;8;aleatorio;702.112;4000224
1;SmoothSort;-;aleatorio;986.127;4000000
2;SmoothSort;-;aleatorio;1005.08;4000000
3;SmoothSort;-;aleatorio;984.628;4000000
4;SmoothSort;-;aleatorio;1005.84;4000000
5;SmoothSort;-;aleatorio;979.763;4000000
