Algoritmo;Aridade_D;Tamanho;Ordem;TempoMedio_ms;MemoriaMedia_KB;MemoriaFixa_KB;TrocasMedias
DHeapMax;8;1000000;ordenado;368;0;3906;7782028
DHeapMin;2;1000000;ordenado;252;0;3906;18333408
DHeapMin;3;1000000;ordenado;172;0;3906;12262754
DHeapMin;4;1000000;ordenado;182;0;3906;10036544
DHeapMin;8;1000000;ordenado;198;0;3906;7180370
SmoothSort;1;1000000;ordenado;11;0;3906;0
DHeapMax;2;1000000;invertido;192;0;3906;18333408
DHeapMax;3;1000000;invertido;165;0;3906;12262754
DHeapMax;4;1000000;invertido;143;0;3906;10036544
DHeapMax;8;1000000;invertido;156;0;3906;7180370
DHeapMin;2;1000000;invertido;180;0;3906;19787792
DHeapMin;3;1000000;invertido;161;0;3906;13242912
DHeapMin;4;1000000;invertido;160;0;3906;10775398
DHeapMin;8;1000000;invertido;142;0;3906;7782028
SmoothSort;1;1000000;invertido;109;0;3906;19460703
