Indice;Algoritmo;D;Tamanho;Tipo;Tempo_ms;Memoria_B
18;D-Heap-Min;3;100;ordenado;0.0317;560
19;D-Heap-Min;3;100;ordenado;0.0168;560
20;D-Heap-Min;3;100;ordenado;0.0221;560
1;D-Heap-Min;4;100;ordenado;0.035799;528
2;D-Heap-Min;4;100;ordenado;0.0199;528
3;D-Heap-Min;4;100;ordenado;0.0183;528
4;D-Heap-Min;4;100;ordenado;0.018;528
5;D-Heap-Min;4;100;ordenado;0.0176;528
6;D-Heap-Min;4;100;ordenado;0.0175;528
7;D-Heap-Min;4;100;ordenado;0.0172;528
8;D-Heap-Min;4;100;ordenado;0.0175;528
9;D-Heap-Min;4;100;ordenado;0.0172;528
10;D-Heap-Min;4;100;ordenado;0.0174;528
11;D-Heap-Min;4;100;ordenado;0.0174;528
12;D-Heap-Min;4;100;ordenado;0.0175;528
13;D-Heap-Min;4;100;ordenado;0.017299;528
14;D-Heap-Min;4;100;ordenado;0.0172;528
15;D-Heap-Min;4;100;ordenado;0.0173;528
16;D-Heap-Min;4;100;ordenado;0.0171;528
17;D-Heap-Min;4;100;ordenado;0.0174;528
18;D-Heap-Min;4;100;ordenado;0.0173;528
19;D-Heap-Min;4;100;ordenado;0.0171;528
20;D-Heap-Min;4;100;ordenado;0.017;528
1;D-Heap-Min;8;100;ordenado;0.0212;496
2;D-Heap-Min;8;100;ordenado;0.0201;496
3;D-Heap-Min;8;100;ordenado;0.0197;496
4;D-Heap-Min;8;100;ordenado;0.0187;496
5;D-Heap-Min;8;100;ordenado;0.018799;496
6;D-Heap-Min;8;100;ordenado;0.019;496
7;D-Heap-Min;8;100;ordenado;0.0188;496
8;D-Heap-Min;8;100;ordenado;0.0185;496
9;D-Heap-Min;8;100;ordenado;0.0186;496
10;D-Heap-Min;8;100;ordenado;0.0189;496
11;D-Heap-Min;8;100;ordenado;0.0184;496
12;D-Heap-Min;8;100;ordenado;0.0187;496
13;D-Heap-Min;8;100;ordenado;0.0187;496
14;D-Heap-Min;8;100;ordenado;0.0193;496
15;D-Heap-Min;8;100;ordenado;0.0188;496
16;D-Heap-Min;8;100;ordenado;0.0186;496
17;D-Heap-Min;8;100;ordenado;0.0184;496
18;D-Heap-Min;8;100;ordenado;0.0185;496
19;D-Heap-Min;8;100;ordenado;0.0186;496
20;D-Heap-Min;8;100;ordenado;0.0188;496
1;SmoothSort;-;100;ordenado;0.0074;400
2;SmoothSort;-;100;ordenado;0.0048;400
3;SmoothSort;-;100;ordenado;0.0049;400
4;SmoothSort;-;100;ordenado;0.0046;400
5;SmoothSort;-;100;ordenado;0.0047;400
6;SmoothSort;-;100;ordenado;0.0045;400
7;SmoothSort;-;100;ordenado;0.0046;400
8;SmoothSort;-;100;ordenado;0.0045;400
9;SmoothSort;-;100;ordenado;0.0045;400
10;SmoothSort;-;100;ordenado;0.0048;400
11;SmoothSort;-;100;ordenado;0.0045;400
12;SmoothSort;-;100;ordenado;0.0044;400
13;SmoothSort;-;100;ordenado;0.0045;400
14;SmoothSort;-;100;ordenado;0.0046;400
15;SmoothSort;-;100;ordenado;0.0045;400
16;SmoothSort;-;100;ordenado;0.0045;400
17;SmoothSort;-;100;ordenado;0.0045;400
18;SmoothSort;-;100;ordenado;0.0046;400
19;SmoothSort;-;100;ordenado;0.0045;400
20;SmoothSort;-;100;ordenado;0.0045;400
1;D-Heap-Max;2;100;invertido;0.0209;624
2;D-Heap-Max;2;100;invertido;0.02;624
3;D-Heap-Max;2;100;invertido;0.0189;624
4;D-Heap-Max;2;100;invertido;0.019;624
5;D-Heap-Max;2;100;invertido;0.0193;624
6;D-Heap-Max;2;100;invertido;0.0195;624
7;D-Heap-Max;2;100;invertido;0.0195;624
8;D-Heap-Max;2;100;invertido;0.0195;624
9;D-Heap-Max;2;100;invertido;0.019;624
10;D-Heap-Max;2;100;invertido;0.0195;624
11;D-Heap-Max;2;100;invertido;0.019299;624
12;D-Heap-Max;2;100;invertido;0.0188;624
13;D-Heap-Max;2;100;invertido;0.025;624
14;D-Heap-Max;2;100;invertido;0.0229;624
15;D-Heap-Max;2;100;invertido;0.027;624
16;D-Heap-Max;2;100;invertido;0.036;624
17;D-Heap-Max;2;100;invertido;0.0339;624
18;D-Heap-Max;2;100;invertido;0.0294;624
19;D-Heap-Max;2;100;invertido;0.028199;624
20;D-Heap-Max;2;100;invertido;0.0249;624
1;D-Heap-Max;3;100;invertido;0.0858;560
2;D-Heap-Max;3;100;invertido;0.0244;560
3;D-Heap-Max;3;100;invertido;0.0229;560
4;D-Heap-Max;3;100;invertido;0.0223;560
5;D-Heap-Max;3;100;invertido;0.020499;560
6;D-Heap-Max;3;100;invertido;0.0203;560
7;D-Heap-Max;3;100;invertido;0.0231;560
8;D-Heap-Max;3;100;invertido;0.0166;560
9;D-Heap-Max;3;100;invertido;0.0163;560
10;D-Heap-Max;3;100;invertido;0.016199;560
11;D-Heap-Max;3;100;invertido;0.0162;560
12;D-Heap-Max;3;100;invertido;0.0163;560
13;D-Heap-Max;3;100;invertido;0.0164;560
14;D-Heap-Max;3;100;invertido;0.0163;560
15;D-Heap-Max;3;100;invertido;0.0163;560
16;D-Heap-Max;3;100;invertido;0.0164;560
17;D-Heap-Max;3;100;invertido;0.0162;560
18;D-Heap-Max;3;100;invertido;0.0162;560
19;D-Heap-Max;3;100;invertido;0.0163;560
20;D-Heap-Max;3;100;invertido;0.0162;560
1;D-Heap-Max;4;100;invertido;0.0187;528
2;D-Heap-Max;4;100;invertido;0.0176;528
3;D-Heap-Max;4;100;invertido;0.0168;528
4;D-Heap-Max;4;100;invertido;0.016599;528
5;D-Heap-Max;4;100;invertido;0.016;528
6;D-Heap-Max;4;100;invertido;0.0159;528
7;D-Heap-Max;4;100;invertido;0.0159;528
8;D-Heap-Max;4;100;invertido;0.0159;528
9;D-Heap-Max;4;100;invertido;0.0158;528
10;D-Heap-Max;4;100;invertido;0.0158;528
11;D-Heap-Max;4;100;invertido;0.0158;528
12;D-Heap-Max;4;100;invertido;0.0159;528
13;D-Heap-Max;4;100;invertido;0.0158;528
14;D-Heap-Max;4;100;invertido;0.0158;528
15;D-Heap-Max;4;100;invertido;0.0158;528
16;D-Heap-Max;4;100;invertido;0.0158;528
17;D-Heap-Max;4;100;invertido;0.0159;528
18;D-Heap-Max;4;100;invertido;0.015899;528
19;D-Heap-Max;4;100;invertido;0.0159;528
20;D-Heap-Max;4;100;invertido;0.016;528
1;D-Heap-Max;8;100;invertido;0.0208;496
2;D-Heap-Max;8;100;invertido;0.019;496
3;D-Heap-Max;8;100;invertido;0.0185;496
4;D-Heap-Max;8;100;invertido;0.0181;496
5;D-Heap-Max;8;100;invertido;0.0179;496
6;D-Heap-Max;8;100;invertido;0.0179;496
7;D-Heap-Max;8;100;invertido;0.0179;496
8;D-Heap-Max;8;100;invertido;0.0179;496
9;D-Heap-Max;8;100;invertido;0.018;496
10;D-Heap-Max;8;100;invertido;0.017799;496
11;D-Heap-Max;8;100;invertido;0.018;496
12;D-Heap-Max;8;100;invertido;0.0178;496
13;D-Heap-Max;8;100;invertido;0.0177;496
14;D-Heap-Max;8;100;invertido;0.0177;496
15;D-Heap-Max;8;100;invertido;0.0178;496
16;D-Heap-Max;8;100;invertido;0.0178;496
17;D-Heap-Max;8;100;invertido;0.0178;496
18;D-Heap-Max;8;100;invertido;0.0177;496
19;D-Heap-Max;8;100;invertido;0.0176;496
20;D-Heap-Max;8;100;invertido;0.0178;496
1;D-Heap-Min;2;100;invertido;0.025;624
2;D-Heap-Min;2;100;invertido;0.024199;624
3;D-Heap-Min;2;100;invertido;0.0235;624
4;D-Heap-Min;2;100;invertido;0.0236;624
5;D-Heap-Min;2;100;invertido;0.024;624
6;D-Heap-Min;2;100;invertido;0.0233;624
7;D-Heap-Min;2;100;invertido;0.0234;624
8;D-Heap-Min;2;100;invertido;0.0232;624
9;D-Heap-Min;2;100;invertido;0.0233;624
10;D-Heap-Min;2;100;invertido;0.023199;624
11;D-Heap-Min;2;100;invertido;0.0234;624
12;D-Heap-Min;2;100;invertido;0.0233;624
13;D-Heap-Min;2;100;invertido;0.0233;624
14;D-Heap-Min;2;100;invertido;0.0234;624
15;D-Heap-Min;2;100;invertido;0.0237;624
16;D-Heap-Min;2;100;invertido;0.0237;624
17;D-Heap-Min;2;100;invertido;0.0235;624
18;D-Heap-Min;2;100;invertido;0.0236;624
19;D-Heap-Min;2;100;invertido;0.0238;624
20;D-Heap-Min;2;100;invertido;0.061899;624
1;D-Heap-Min;3;100;invertido;0.0335;560
2;D-Heap-Min;3;100;invertido;0.0355;560
3;D-Heap-Min;3;100;invertido;0.0278;560
4;D-Heap-Min;3;100;invertido;0.0207;560
5;D-Heap-Min;3;100;invertido;0.0202;560
6;D-Heap-Min;3;100;invertido;0.020199;560
7;D-Heap-Min;3;100;invertido;0.02;560
8;D-Heap-Min;3;100;invertido;0.0199;560
9;D-Heap-Min;3;100;invertido;0.0199;560
10;D-Heap-Min;3;100;invertido;0.02;560
11;D-Heap-Min;3;100;invertido;0.0278;560
12;D-Heap-Min;3;100;invertido;0.0224;560
13;D-Heap-Min;3;100;invertido;0.0204;560
14;D-Heap-Min;3;100;invertido;0.0205;560
15;D-Heap-Min;3;100;invertido;0.0259;560
16;D-Heap-Min;3;100;invertido;0.030399;560
17;D-Heap-Min;3;100;invertido;0.0206;560
18;D-Heap-Min;3;100;invertido;0.0201;560
19;D-Heap-Min;3;100;invertido;0.02;560
20;D-Heap-Min;3;100;invertido;0.02;560
1;D-Heap-Min;4;100;invertido;0.0207;528
2;D-Heap-Min;4;100;invertido;0.0207;528
3;D-Heap-Min;4;100;invertido;0.02;528
4;D-Heap-Min;4;100;invertido;0.0199;528
5;D-Heap-Min;4;100;invertido;0.0196;528
6;D-Heap-Min;4;100;invertido;0.019599;528
7;D-Heap-Min;4;100;invertido;0.0197;528
8;D-Heap-Min;4;100;invertido;0.0195;528
9;D-Heap-Min;4;100;invertido;0.0196;528
10;D-Heap-Min;4;100;invertido;0.0195;528
11;D-Heap-Min;4;100;invertido;0.0195;528
12;D-Heap-Min;4;100;invertido;0.0196;528
13;D-Heap-Min;4;100;invertido;0.0196;528
14;D-Heap-Min;4;100;invertido;0.0196;528
15;D-Heap-Min;4;100;invertido;0.0196;528
16;D-Heap-Min;4;100;invertido;0.0196;528
17;D-Heap-Min;4;100;invertido;0.0196;528
18;D-Heap-Min;4;100;invertido;0.019699;528
19;D-Heap-Min;4;100;invertido;0.0196;528
20;D-Heap-Min;4;100;invertido;0.0196;528
1;D-Heap-Min;8;100;invertido;0.0227;496
2;D-Heap-Min;8;100;invertido;0.0223;496
3;D-Heap-Min;8;100;invertido;0.0218;496
4;D-Heap-Min;8;100;invertido;0.0213;496
5;D-Heap-Min;8;100;invertido;0.0212;496
6;D-Heap-Min;8;100;invertido;0.0211;496
7;D-Heap-Min;8;100;invertido;0.0212;496
8;D-Heap-Min;8;100;invertido;0.0212;496
9;D-Heap-Min;8;100;invertido;0.021199;496
10;D-Heap-Min;8;100;invertido;0.0211;496
11;D-Heap-Min;8;100;invertido;0.0212;496
12;D-Heap-Min;8;100;invertido;0.021;496
13;D-Heap-Min;8;100;invertido;0.0212;496
14;D-Heap-Min;8;100;invertido;0.0212;496
15;D-Heap-Min;8;100;invertido;0.0212;496
16;D-Heap-Min;8;100;invertido;0.0211;496
17;D-Heap-Min;8;100;invertido;0.0211;496
18;D-Heap-Min;8;100;invertido;0.0211;496
19;D-Heap-Min;8;100;invertido;0.021099;496
20;D-Heap-Min;8;100;invertido;0.0212;496
1;SmoothSort;-;100;invertido;0.0336;400
2;SmoothSort;-;100;invertido;0.0282;400
3;SmoothSort;-;100;invertido;0.0263;400
4;SmoothSort;-;100;invertido;0.0255;400
5;SmoothSort;-;100;invertido;0.0251;400
6;SmoothSort;-;100;invertido;0.025;400
7;SmoothSort;-;100;invertido;0.0249;400
8;SmoothSort;-;100;invertido;0.024999;400
9;SmoothSort;-;100;invertido;0.0249;400
10;SmoothSort;-;100;invertido;0.0249;400
11;SmoothSort;-;100;invertido;0.0248;400
12;SmoothSort;-;100;invertido;0.0248;400
13;SmoothSort;-;100;invertido;0.0248;400
14;SmoothSort;-;100;invertido;0.0247;400
15;SmoothSort;-;100;invertido;0.0247;400
16;SmoothSort;-;100;invertido;0.0248;400
17;SmoothSort;-;100;invertido;0.024599;400
18;SmoothSort;-;100;invertido;0.0247;400
19;SmoothSort;-;100;invertido;0.0246;400
20;SmoothSort;-;100;invertido;0.0248;400
1;D-Heap-Max;2;100;aleatorio;0.024;624
2;D-Heap-Max;2;100;aleatorio;0.0228;624
3;D-Heap-Max;2;100;aleatorio;0.0494;624
4;D-Heap-Max;2;100;aleatorio;0.029;624
5;D-Heap-Max;2;100;aleatorio;0.0291;624
6;D-Heap-Max;2;100;aleatorio;0.0671;624
7;D-Heap-Max;2;100;aleatorio;0.0282;624
8;D-Heap-Max;2;100;aleatorio;0.0315;624
9;D-Heap-Max;2;100;aleatorio;0.0326;624
10;D-Heap-Max;2;100;aleatorio;0.0707;624
11;D-Heap-Max;2;100;aleatorio;0.0282;624
12;D-Heap-Max;2;100;aleatorio;0.036499;624
13;D-Heap-Max;2;100;aleatorio;0.0313;624
14;D-Heap-Max;2;100;aleatorio;0.0338;624
15;D-Heap-Max;2;100;aleatorio;0.0705;624
16;D-Heap-Max;2;100;aleatorio;0.0302;624
17;D-Heap-Max;2;100;aleatorio;0.034399;624
18;D-Heap-Max;2;100;aleatorio;0.034;624
19;D-Heap-Max;2;100;aleatorio;0.0304;624
20;D-Heap-Max;2;100;aleatorio;0.0329;624
1;D-Heap-Max;3;100;aleatorio;0.0795;560
2;D-Heap-Max;3;100;aleatorio;0.0198;560
3;D-Heap-Max;3;100;aleatorio;0.018499;560
4;D-Heap-Max;3;100;aleatorio;0.018;560
5;D-Heap-Max;3;100;aleatorio;0.019;560
6;D-Heap-Max;3;100;aleatorio;0.0794;560
7;D-Heap-Max;3;100;aleatorio;0.0247;560
8;D-Heap-Max;3;100;aleatorio;0.0236;560
9;D-Heap-Max;3;100;aleatorio;0.023199;560
10;D-Heap-Max;3;100;aleatorio;0.0538;560
11;D-Heap-Max;3;100;aleatorio;0.0277;560
12;D-Heap-Max;3;100;aleatorio;0.0995;560
13;D-Heap-Max;3;100;aleatorio;0.050799;560
14;D-Heap-Max;3;100;aleatorio;0.0235;560
15;D-Heap-Max;3;100;aleatorio;0.0242;560
