Algoritmo;D;Tamanho;Tipo;TempoMedio_ms;MemoriaMedia_B
D-Heap-Max;3;1000000;invertido;762.195;4000416
D-Heap-Max;4;1000000;invertido;547.366;4000320
D-Heap-Max;8;1000000;invertido;662.447;4000224
D-Heap-Min;2;1000000;invertido;725.077;4000640
D-Heap-Min;3;1000000;invertido;623.013;4000416
D-Heap-Min;4;1000000;invertido;642.745;4000320
D-Heap-Min;8;1000000;invertido;646.445;4000224
SmoothSort;-;1000000;invertido;778.839;4000000
D-Heap-Max;2;1000000;aleatorio;976.602;4000640
D-Heap-Max;3;1000000;aleatorio;684.607;4000416
D-Heap-Max;4;1000000;aleatorio;633.298;4000320
D-Heap-Max;8;1000000;aleatorio;832.73;4000224
D-Heap-Min;2;1000000;aleatorio;829.732;4000640
D-Heap-Min;3;1000000;aleatorio;710.256;4000416
D-Heap-Min;4;1000000;aleatorio;675.763;4000320
D-Heap-Min;8;1000000;aleatorio;714.865;4000224
SmoothSort;-;1000000;aleatorio;995.85;4000000
