Indice;Algoritmo;Aridade_D;Tamanho;Tipo;Tempo_ms;Memoria_KB;Trocas
7;DHeapMin;4;100;aleatorio;0;0;360
8;DHeapMin;4;100;aleatorio;0;0;360
9;DHeapMin;4;100;aleatorio;0;0;360
10;DHeapMin;4;100;aleatorio;0;0;360
11;DHeapMin;4;100;aleatorio;0;0;360
12;DHeapMin;4;100;aleatorio;0;0;360
13;DHeapMin;4;100;aleatorio;0;0;360
14;DHeapMin;4;100;aleatorio;0;0;360
15;DHeapMin;4;100;aleatorio;0;0;360
16;DHeapMin;4;100;aleatorio;0;0;360
17;DHeapMin;4;100;aleatorio;0;0;360
18;DHeapMin;4;100;aleatorio;0;0;360
19;DHeapMin;4;100;aleatorio;0;0;360
20;DHeapMin;4;100;aleatorio;0;0;360
1;DHeapMin;8;100;aleatorio;0;0;290
2;DHeapMin;8;100;aleatorio;0;0;290
3;DHeapMin;8;100;aleatorio;0;0;290
4;DHeapMin;8;100;aleatorio;0;0;290
5;DHeapMin;8;100;aleatorio;0;0;290
6;DHeapMin;8;100;aleatorio;0;0;290
7;DHeapMin;8;100;aleatorio;0;0;290
8;DHeapMin;8;100;aleatorio;0;0;290
9;DHeapMin;8;100;aleatorio;0;0;290
10;DHeapMin;8;100;aleatorio;0;0;290
11;DHeapMin;8;100;aleatorio;0;0;290
12;DHeapMin;8;100;aleatorio;0;0;290
13;DHeapMin;8;100;aleatorio;0;0;290
14;DHeapMin;8;100;aleatorio;0;0;290
15;DHeapMin;8;100;aleatorio;0;0;290
16;DHeapMin;8;100;aleatorio;0;0;290
17;DHeapMin;8;100;aleatorio;0;0;290
18;DHeapMin;8;100;aleatorio;0;0;290
19;DHeapMin;8;100;aleatorio;0;0;290
20;DHeapMin;8;100;aleatorio;0;0;290
1;SmoothSort;1;100;aleatorio;0;40;660
2;SmoothSort;1;100;aleatorio;0;0;660
3;SmoothSort;1;100;aleatorio;0;0;660
4;SmoothSort;1;100;aleatorio;0;0;660
5;SmoothSort;1;100;aleatorio;0;0;660
6;SmoothSort;1;100;aleatorio;0;0;660
7;SmoothSort;1;100;aleatorio;0;0;660
8;SmoothSort;1;100;aleatorio;0;0;660
9;SmoothSort;1;100;aleatorio;0;0;660
10;SmoothSort;1;100;aleatorio;0;0;660
11;SmoothSort;1;100;aleatorio;0;0;660
12;SmoothSort;1;100;aleatorio;0;0;660
13;SmoothSort;1;100;aleatorio;0;0;660
14;SmoothSort;1;100;aleatorio;0;0;660
15;SmoothSort;1;100;aleatorio;0;0;660
16;SmoothSort;1;100;aleatorio;0;0;660
17;SmoothSort;1;100;aleatorio;0;0;660
18;SmoothSort;1;100;aleatorio;0;0;660
19;SmoothSort;1;100;aleatorio;0;0;660
20;SmoothSort;1;100;aleatorio;0;0;660
1;DHeapMax;2;100;ordenado;0;0;640
2;DHeapMax;2;100;ordenado;0;0;640
3;DHeapMax;2;100;ordenado;0;0;640
4;DHeapMax;2;100;ordenado;0;0;640
5;DHeapMax;2;100;ordenado;0;0;640
6;DHeapMax;2;100;ordenado;0;0;640
7;DHeapMax;2;100;ordenado;0;0;640
8;DHeapMax;2;100;ordenado;0;0;640
9;DHeapMax;2;100;ordenado;0;0;640
10;DHeapMax;2;100;ordenado;0;0;640
11;DHeapMax;2;100;ordenado;0;0;640
12;DHeapMax;2;100;ordenado;0;0;640
13;DHeapMax;2;100;ordenado;0;0;640
14;DHeapMax;2;100;ordenado;0;0;640
15;DHeapMax;2;100;ordenado;0;0;640
16;DHeapMax;2;100;ordenado;0;0;640
17;DHeapMax;2;100;ordenado;0;0;640
18;DHeapMax;2;100;ordenado;0;0;640
19;DHeapMax;2;100;ordenado;0;0;640
20;DHeapMax;2;100;ordenado;0;0;640
1;DHeapMax;3;100;ordenado;0;0;464
2;DHeapMax;3;100;ordenado;0;0;464
3;DHeapMax;3;100;ordenado;0;0;464
4;DHeapMax;3;100;ordenado;0;0;464
5;DHeapMax;3;100;ordenado;0;0;464
6;DHeapMax;3;100;ordenado;0;0;464
7;DHeapMax;3;100;ordenado;0;0;464
8;DHeapMax;3;100;ordenado;0;0;464
9;DHeapMax;3;100;ordenado;0;0;464
10;DHeapMax;3;100;ordenado;0;0;464
11;DHeapMax;3;100;ordenado;0;0;464
12;DHeapMax;3;100;ordenado;0;0;464
13;DHeapMax;3;100;ordenado;0;0;464
