Algoritmo;Aridade_D;Tamanho;Ordem;TempoMedio_ms;MemoriaMedia_KB;MemoriaFixa_KB;TrocasMedias
DHeapMin;4;100000;invertido;16871.050000;0;400000;908142
DHeapMin;8;100000;invertido;16986.800000;0;400000;669268
SmoothSort;1;100000;invertido;10805.450000;0;400000;1670780
DHeapMax;2;1000000;aleatorio;344190.050000;0;4000000;19050153
DHeapMax;3;1000000;aleatorio;295425.850000;0;4000000;12562198
DHeapMax;4;1000000;aleatorio;293826.500000;0;4000000;10244417
DHeapMax;8;1000000;aleatorio;331858.450000;0;4000000;7297331
DHeapMin;2;1000000;aleatorio;333922.200000;0;4000000;19048328
DHeapMin;3;1000000;aleatorio;287631.250000;0;4000000;12561911
DHeapMin;4;1000000;aleatorio;291001.600000;0;4000000;10245239
DHeapMin;8;1000000;aleatorio;274330.800000;0;4000000;7297583
SmoothSort;1;1000000;aleatorio;314996.650000;0;4000000;26284635
DHeapMax;2;1000000;ordenado;275812.000000;0;4000000;19787792
DHeapMax;3;1000000;ordenado;214262.150000;0;4000000;13242912
DHeapMax;4;1000000;ordenado;203063.200000;0;4000000;10775398
DHeapMax;8;1000000;ordenado;294938.300000;0;4000000;7782028
DHeapMin;2;1000000;ordenado;313664.300000;0;4000000;18333408
DHeapMin;3;1000000;ordenado;202855.150000;0;4000000;12262754
DHeapMin;4;1000000;ordenado;186628.450000;0;4000000;10036544
DHeapMin;8;1000000;ordenado;187137.450000;0;4000000;7180370
SmoothSort;1;1000000;ordenado;11075.750000;0;4000000;0
DHeapMax;2;1000000;invertido;217579.700000;0;4000000;18333408
DHeapMax;3;1000000;invertido;174930.150000;0;4000000;12262754
DHeapMax;4;1000000;invertido;166024.300000;0;4000000;10036544
DHeapMax;8;1000000;invertido;167422.100000;0;4000000;7180370
DHeapMin;2;1000000;invertido;191660.550000;0;4000000;19787792
DHeapMin;3;1000000;invertido;158225.550000;0;4000000;13242912
DHeapMin;4;1000000;invertido;152496.800000;0;4000000;10775398
DHeapMin;8;1000000;invertido;154473.350000;0;4000000;7782028
SmoothSort;1;1000000;invertido;118669.050000;0;4000000;19460703
